Journal Name,Journal Absract
INFORMATION SYSTEMS FRONTIERS,"The interdisciplinary interfaces of Information Systems (IS) are fast emerging as defining areas of research and development in IS. These developments are largely due to the transformation of Information Technology (IT) towards networked worlds and its effects on global communications and economies. While these developments are shaping the way information is used in all forms of human enterprise, they are also setting the tone and pace of information systems of the future. The major advances in IT such as client/server systems, the Internet and the desktop/multimedia computing revolution, for example, have led to numerous important vistas of research and development with considerable practical impact and academic significance. While the industry seeks to develop high performance IS/IT solutions to a variety of contemporary information support needs, academia looks to extend the reach of IS technology into new application domains. Information Systems Frontiers (ISF) aims to provide a common forum of dissemination of frontline industrial developments of substantial academic value and pioneering academic research of significant practical impact.

Information Systems Frontiers will focus on research and development at the IS/IT interfaces in the academia and industry. The interfaces include the base disciplines of computer science, telecommunications, operations research, economics and cognitive sciences, for instance. Emerging areas that ISF will concentrate on in the next few years include, but are not limited to: enterprise modeling and integration, emerging object/web technologies, information economics, IT integrated manufacturing, medical informatics, digital libraries, mobile computing and electronic commerce. The publication highlights of ISF are:
Focus 
Provide a forum for both academicians and industry specialists to explore the multiple frontiers of the IS/IT field
Bring innovative research on all aspects of IS/IT interfaces from analytical, behavioral and technological perspectives


Format 
Published quarterly, with dedicated issues on a regular basis as well as a general issue per year
Internet support with abstracts, fast track reviews, discussion groups and a variety of other services 

Content 
Theories and models of IS/IT systems and solutions
Pragmatic solutions to practical IS/IT problems
Computational, empirical and system developmental studies
Perspectives synthesizing recent developments in interface areas
State-of-the-art, state-of-the-market, state-of-the-practice surveys
Reviews of challenges, solutions and lessons learned in practice 
Management
An Editorial Advisory Group and an Editorial Board both including outstanding individuals from academia and industry
Eminent guest editors for the dedicated issues,
Editors of websites managing and maintaining the internet services."
INFORMATION VISUALIZATION,"Information Visualization is an international, peer-reviewed journal publishing articles on fundamental research and applications of information visualization. The journal acts as a dedicated forum for the theories, methodologies, techniques and evaluations of information visualization and its applications.

The journal is a core vehicle for developing a generic research agenda for the field by identifying and developing the unique and significant aspects of information visualization. Emphasis is placed on interdisciplinary material and on the close connection between theory and practice.

The scope of the journal includes, but is not limited to:

Design theories and methodologies
Applications and case studies
Perception and cognitive factors
Evaluation and usability studies
Interactive data exploration
Standards and visualization languages
Multidimensional and multivariate analysis
Knowledge discovery and visual data mining
Requirement engineering and task analysis
Visual Analytics"
INFORMS JOURNAL ON COMPUTING,"INFORMS Journal on Computing publishes a wide range of papers covering the broad intersection of O.R. and computer science. In addition to research articles, there are
special papers in a variety of formats, including feature articles on timely topics, expository and state-of-the-art reviews, and research perspectives. 

Specific areas of interest in INFORMS Journal on Computing include:

Computational probability and analysis
Design and analysis of algorithms
Heuristic search and learning
High-performance computation
Knowledge and data management
Logic, optimization, and constraint programming
Modeling: methods and analysis
Simulation
Telecommunications and electronics"
INTEGRATED COMPUTER-AIDED ENGINEERING,"Integrated Computer-Aided Engineering (ICAE) was founded in 1993. ""Based on the premise that interdisciplinary thinking and synergistic collaboration of disciplines can solve complex problems, open new frontiers, and lead to true innovations and breakthroughs, the cornerstone of industrial competitiveness and advancement of the society"" as noted in the inaugural issue of the journal.

The focus of ICAE is the integration of leading edge and emerging computer and information technologies for innovative solution of engineering problems. The journal fosters interdisciplinary research and presents a unique forum for innovative computer-aided engineering. It also publishes novel industrial applications of CAE, thus helping to bring new computational paradigms from research labs and classrooms to reality. Areas covered by the journal include (but are not limited to) artificial intelligence, advanced signal processing, biologically inspired computing, cognitive modeling, concurrent engineering, database management, distributed computing, evolutionary computing, fuzzy logic, genetic algorithms, geometric modeling, intelligent and adaptive systems, internet-based technologies, knowledge discovery and engineering, machine learning, mechatronics, mobile computing, multimedia technologies, networking, neural network computing, object-oriented systems, optimization and search, parallel processing, robotics virtual reality, and visualization techniques.

Types of Articles Published in the Journal:
Major original contribution
Short original contribution
State-of-the-art review article
Recent and Forthcoming planned Special Issues
Object-Oriented Manufacturing Systems
Artificial Intelligence in Manufacturing and Robotics
Intelligent Information Systems
Multidatabase and Interoperable Systems
Real-Time Intelligent Control Systems
Integrated Product and Process Data Management
Faults in Automated Manufacturing
Massively Parallel Computing
Intelligent Manufacturing Systems
Design of Embedded Computer Systems
Real-Time Engineering Systems
Neutral Techniques for Industrial Applications
Intelligent Autonomous Vehicles
Architectural Trends for Image Processing and Machine Vision
Industrial Applications of the Wavelet Transforms
Distributed Computing and Networking
Agent-Based Manufacturing
Evolutionary Computing and Neutral Networks

Recent and Forthcoming planned Special Issues
Object-Oriented Manufacturing Systems
Artificial Intelligence in Manufacturing and Robotics
Intelligent Information Systems
Multidatabase and Interoperable Systems
Real-Time Intelligent Control Systems
Integrated Product and Process Data Management
Faults in Automated Manufacturing
Massively Parallel Computing
Intelligent Manufacturing Systems
Design of Embedded Computer Systems
Real-Time Engineering Systems
Neutral Techniques for Industrial Applications
Intelligent Autonomous Vehicles
Architectural Trends for Image Processing and Machine Vision
Industrial Applications of the Wavelet Transforms
Distributed Computing and Networking
Agent-Based Manufacturing
Evolutionary Computing and Neutral Networks
"
INTELLIGENT DATA ANALYSIS,"Intelligent Data Analysis provides a forum for the examination of issues related to the research and applications of Artificial Intelligence techniques in data analysis across a variety of disciplines. These techniques include (but are not limited to): all areas of data visualization, data pre-processing (fusion, editing, transformation, filtering, sampling), data engineering, database mining techniques, tools and applications, use of domain knowledge in data analysis, big data applications, evolutionary algorithms, machine learning, neural nets, fuzzy logic, statistical pattern recognition, knowledge filtering, and post-processing. In particular, papers are preferred that discuss development of new AI related data analysis architectures, methodologies, and techniques and their applications to various domains."
INTERACTING WITH COMPUTERS,"Interacting with Computers: The Interdisciplinary Journal of Human-Computer Interaction, is an official publication of BCS, The Chartered Institute for IT and the Interaction Specialist Group . 

Interacting with Computers (IwC) was launched in 1987 by interaction to provide access to the results of research in the field of Human-Computer Interaction (HCI) - an increasingly crucial discipline within the Computer, Information, and Design Sciences. Now one of the most highly rated journals in the field, IwC has a strong and growing Impact Factor, and a high ranking and excellent indices (h-index, SNIP, SJR). 

Topics covered include: HCI and design theory; new research paradigms; interaction process and methodology; user interface, usability and UX design; development tools and techniques; empirical evaluations and assessment strategies; new and emerging technologies; ubiquitous, ambient and mobile interaction; accessibility, user modelling and intelligent systems; organisational and societal issues."
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,"The major goal of IJBIC is the publication of new research results on bio-inspired computation methods and their applications. IJBIC provides the scientific community and industry with a vehicle whereby ideas using two or more conventional and computational intelligence based techniques can be discussed.

Bio-inspired computation is an umbrella term for different computational approaches that are based on principles or models of biological systems. This class of methods, such as evolutionary algorithms, ant colony optimisation, and swarm intelligence, complements traditional techniques in the sense that the former can be applied to large-scale applications where little is known about the underlying problem and where the latter approaches encounter difficulties. Therefore, bio-inspired methods are becoming increasingly important in the face of the complexity of today's demanding applications, and accordingly they have been successfully used in various fields ranging from computer engineering and mechanical engineering to chemical engineering and molecular biology.

IJBIC is especially intended for furthering the overall understanding of new algorithms simulated with various bio-phenomena beyond the current focus, i.e. genetic algorithms, Tabu search, etc. Its objective is improvement in theory and applications of the bio-computation field. Algorithms should therefore be carefully designed and appropriately analysed, and authors are encouraged to assess the statistical validity of their results whenever possible."
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,"The International Journal of Computational Intelligence Systems (IJCIS) publishes state-of-the-art research and development in all aspects of applied computational intelligence, especially targeting articles demonstrating the use of techniques and methods originating from computational intelligence research and theory.

The core theories of computational intelligence are Fuzzy Logic, Neural Networks, Evolutionary Computation and Probabilistic Reasoning.

The journal publishes only articles related to the use of computational intelligence, including:

Autonomous reasoning / Bio-informatics / Cloud computing / Condition monitoring / Data science / Data mining / Data visualization / Decision support systems / Fault diagnosis / Intelligent information retrieval / Human-machine interaction and interfaces / Image processing / Internet and Networks / Noise analysis / Pattern recognition / Prediction systems / Power (Nuclear) safety systems / Process and system control / Real time systems / Risk analysis and safety related issues / Robotics / Signal or image processing / IoT and Smart environments / Systems integration / System control / System modelling and Optimization / Telecommunications / Time series prediction / Warning systems / Virtual reality / Web-intelligence / Deep learning"
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,"The International Journal of Data Warehousing and Mining (IJDWM) aims to publish and disseminate knowledge on an international basis in the areas of data warehousing and data mining. It is published multiple times a year, with the purpose of providing a forum for state-of-the-art developments and research, as well as current innovative activities in data warehousing and mining. In contrast to other journals, this journal focuses on the integration between the fields of data warehousing and data mining, with emphasize on the applicability to real world problems. The journal is targeted at both academic researchers and practicing IT professionals."
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,"The International Journal of Foundations of Computer Science publishes articles which contribute new theoretical results in all areas of the foundations of computer science. The theoretical and mathematical aspects covered include: Algebraic theory of computing and formal systems, Analysis and design of algorithms, Automata and formal languages, Categories in computer science, Combinatorics, Complexity theory, Computational biology and DNA computing, Computer theorem proving, Concurrency, Constructive logic, Crytography, Database theory, Logic and semantics of programs, Logic in artificial intelligence, Logic programming, Models of computation, Program verification and synthesis, Proof and specification in computer science, Quantum computing, Theories and models of internet computing, Theory of learning and inductive inference, Theory of parallel and distributed computing, and Type theory.
"
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,"International Journal of General Systems is a periodical devoted primarily to the publication of original research contributions to system science, basic as well as applied. However, relevant survey articles, invited book reviews, bibliographies, and letters to the editor are also published. 

The principal aim of the journal is to promote original systems ideas (concepts, principles, methods, theoretical or experimental results, etc.) that are broadly applicable to various kinds of systems. The term ?general system? in the name of the journal is intended to indicate this aim?the orientation to systems ideas that have a general applicability. Typical subject areas covered by the journal include: uncertainty and randomness; fuzziness and imprecision; information; complexity; inductive and deductive reasoning about systems; learning; systems analysis and design; and theoretical as well as experimental knowledge regarding various categories of systems. Submitted research must be well presented and must clearly state the contribution and novelty. Manuscripts dealing with particular kinds of systems which lack general applicability across a broad range of systems should be sent to journals specializing in the respective topics. 

Manuscripts submitted to the journal that the editors do not consider compatible with these Aims and Scope are routinely rejected. All other manuscripts are subject to peer review at the discretion of the Editorial Office. 

All published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees.

Sample our Computer Science journals, sign in here to start your access, latest two full volumes FREE to you for 14 days
 Publish open access with the Journal of Information and Telecommunications
"
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,"The International Journal of High Performance Computing Applications provides a lively forum for the communications of original peer-reviewed research papers and timely review articles on the use of supercomputers to solve complex modeling problems in a spectrum of disciplines.

The goal of the journal is to capture the state of the art in simulation and modeling of complex phenomena across a spectrum of disciplines and the technologies that support those activities through original research papers and timely review articles. The journal emphasizes experiences with the use of large-scale, high performance computers and software techniques that apply to classes of problems, often across disciplines. Articles should focus such experiences and techniques, as well as methods for analyzing and applying algorithms and solution schemes related to particular application areas. Articles that document the complexity of maximizing performance for real world applications are of particular interest.

The scope of the journal is reflected by the specialties of the board of contributing editors. Illustrative applications include:

Aerodynamics and aerospace engineering;
Astrophysics and geophysics;
Atmospheric research and meteorological forecasting;
Automotive design and production;
Climate modeling;
Computer graphics and imaging;
Molecular biology and molecular dynamics;
Nuclear physics;
Petroleum reservoir engineering and hydrology;
Pharmaceutical structural analysis and computer-aided design;
Physical oceanography;
Plasma physics;
Quantum chemistry and first principles molecular dynamics;
Solid state physics, and structural dynamics.
General-purpose computational technologies of interest include: the interaction of architecture with algorithms; performance modeling; parallel programming models and languages; parallel tools and their application to large-scale simulation; scaling analyses; and scientific software engineering."
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,"The International Journal of Human-Computer Interaction addresses the cognitive, creative, social, health, and ergonomic aspects of interactive computing.
 
It emphasizes the human element in relation to the systems and contexts in which humans perform, operate, network, and communicate, including mobile apps, social media, online communities, and digital accessibility. The journal publishes original articles including reviews and reappraisals of the literature, empirical studies, and quantitative and qualitative contributions to the theories and applications of HCI.
 
All submitted manuscripts are subject to initial appraisal by the Editors, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. All submissions and peer review are conducted online via Editorial Manager.
 "
INTERNATIONAL JOURNAL OF INFORMATION SECURITY,"The International Journal of Information Security is an English language international journal on research in information security.

Information security builds on computer security and applied cryptography, but also reaches out to other branches of the information sciences. Information security is an important aspect of protecting the information society from a wide variety of threats.

The number and the sizes of international conferences treating information security grow with each passing year, as does the quantity of significant publishable technical work in this area. But much of this work appears too long after the need for it has arisen, if at all, or in journals with specialist readerships not including many of those to whom it would be most valuable. Moreover, we do not have journals covering applications and the implementation of security techniques, topics which are important in industry and the business world.

In this new century, The International Journal of Information Security will provide prompt publication of important technical work in information security, whether theoretical, applicable, or related to implementation.

The intended audience includes any person, whether active in the technology or not, whose interests in communications, commerce, banking, medicine, or other areas of endeavor are affected by information security.

The intended author is a technical specialist with the skill and commitment to presenting recent advances in information security to a broad audience around the world.

The intended review process will be peer review by members of the editorial board, with recourse to outside experts where appropriate.

The scope of the International Journal of Information Security (IJIS) is theory, applications, and implementations of information security. This includes, but is not limited to:

- system security - intrusion detection, secure end systems, secure operating systems, database security, security infrastructures, security evaluation 
- network security - Internet security, firewalls, mobile security, security agents, protocols, anti-virus and anti-hacker measures 
- content protection - software protection, tamper resistant software 
- applications - electronic commerce, electronic government, health, telecommunications, mobility 
- foundations - privacy, access control, authentication, identification, applied cryptography, formal methods in information security"
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,"International Journal of Parallel Programming, one of the oldest journals in the field, published continuously for over 25 years, is a forum for the publication of peer-reviewed, high-quality original papers in computer science, focusing specifically on parallel computing systems. Such systems are characterized by the coexistence over time of multiple coordinated activities. The journal publishes both original research and survey papers. Fields of interest include: embedded systems to high performance supercomputing,  high-level languages, optimizations, parallel and distributed systems, programming support systems, pragmatic considerations, architectural characteristics, software engineering aspects, advances in parallel algorithms, performance studies, and application studies that significantly advance the state of the art."
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,"A central theme of this journal is the interplay between software engineering and knowledge engineering: how knowledge engineering methods can be applied to software engineering, and vice versa. The journal publishes papers in the areas of software engineering methods and practices, object-oriented systems, rapid prototyping, software reuse, cleanroom software engineering, stepwise refinement/enhancement, formal methods of specification, ambiguity in software development, impact of CASE on software development life cycle, knowledge engineering methods and practices, logic programming, expert systems, knowledge-based systems, distributed knowledge-based systems, deductive database systems, knowledge representations, knowledge-based systems in language translation & processing, software and knowledge-ware maintenance, reverse engineering in software design, and applications in various domains of interest."
INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,"The International Journal of Unconventional Computing offers the opportunity for rapid publication of theoretical and experimental results in non-classical computing. Specific topics include but are not limited to:; cellular automata as models of massively parallel computing (computational universality, image processing, self-organizing mechanics, cellular-automaton computation as alternative to differential equations, models of self-reproduction);; physics of computation (e.g. conservative logic, thermodynamics of computation, reversible computing, quantum computing, collision-based computing with solitons, optical logic); chemical computing (e.g. implementation of logical functions in chemical systems, image processing and pattern recognition in reaction-diffusion chemical systems and networks of chemical reactors); bio-molecular computing (e.g. conformation based, information processing in molecular arrays, molecular memory); complexity (e.g. computational complexity of non-standard computer architectures; theory of amorphous computing; artificial chemistry); logics of unconventional computing (e.g. logical systems derived from space-time behavior of natural systems; non-classical logics; logical reasoning in physical, chemical and biological systems); smart actuators (e.g. molecular machines incorporating information processing, intelligent arrays of actuators); novel hardware systems (e.g. cellular automata VLSIs, functional neural chips); mechanical computing (e.g. micromechanical encryption, computing in nanomachines, physical limits to mechanical computation). Both theoretical and experimental contributions are invited."
INTERNATIONAL JOURNAL OF WAVELETS MULTIRESOLUTION AND INFORMATION PROCESSING,"International Journal of Wavelets, Multiresolution and Information Processing (IJWMIP) considers the current state-of-the-art theories of wavelet analysis, multiresolution and information processing as well as their applications. This journal aims at publishing papers in both the theories and applications, concentrating on the practical applications of the wavelets, multiresolution and information processing to all areas in science and engineering. The IJWMIP publishes articles of four primary types: 1. Original research papers, 2. Correspondences, 3. Overviews and summaries, 4. Descriptions of systems and software packages."
INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,"Web services are developing to provide declarative interfaces to services offered by systems on the Internet. They include messaging protocols, standard interfaces and directory services, as well as security layers, for efficient and effective business application integration. Typical application areas are business-to-business integration, business process integration and management, content management, and design collaboration. Currently, Grid computing has emerged as a global platform to support organisations for coordinated sharing of distributed data, applications, and processes. Grid computing has also started to leverage web services to define standard interfaces for business services like business process outsourcing, a higher level outsourcing model of e-business on demand."
INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH,"The International Journal of Web Services Research (IJWSR) includes topics related to the advancements in the state of the art standards and practices of Web Services, as well as covers the emerging research topics which are going to define the future of Web Services computing, including Web Services on grid computing, multimedia, and communication."
INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION,"Sponsored by the International Association for Pattern Recognition, this journal is focused on publishing articles that cover all areas related to document analysis and recognition. This includes contributions dealing with computer recognition of characters, symbols, text, lines, graphics, images, handwriting, signatures, as well as automatic analyses of the overall physical and logical structures of documents, with the ultimate objective of a high-level understanding of their semantic content. The International Journal on Document Analysis and Recognition (IJDAR) publishes articles of four primary types: original research papers, correspondence, overviews and summaries, and system descriptions. It also features special issues on active areas of research."
INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS,The International Journal on Semantic Web and Information Systems (IJSWIS) is an archival journal that publishes high quality original manuscripts in all aspects of Semantic Web that are relevant to computer science and information systems communities. IJSWIS is an open forum aiming to cultivate the Semantic Web vision within the information systems research community. The main focus is on information systems discipline and working towards the delivery of the main implications that the Semantic Web brings to information systems and the information/knowledge society.
INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,"The International Journal on Software Tools for Technology Transfer (STTT) provides a forum discussing all aspects of tools that aid in the development of computer systems. In particular, it offers a tool-oriented link between academic research and industrial practice. STTT publishes accessible papers that introduce researchers and practitioners to state-of-the-art tools and techniques. It channels comments, queries, and feedback on tools and papers to its Online Forum, publishing highlights electronically. It enables even non-experts to experiment with the integrated tools via the Electronic Tool Integration (ETI) platform. STTT addresses a heterogeneous audience, emphasizing clear, jargon-free exposition."
JOURNAL OF CELLULAR AUTOMATA,"The Journal of Cellular Automata publishes high-quality papers where cellular automata are studied theoretically or used as computational models of mathematical, physical, chemical, biological, social and engineering systems.

A few examples are given in the list below, which is but a small sample of the areas of interest explored by this journal: Structure formation, heat conduction, self-reproduction, language recognition, evolutionary games, image processing, cryptography, random number generation, computational universality, traffic dynamics, neural networks, alternative discrete-physics models, population dynamics etc."
JOURNAL OF COMPUTATIONAL SCIENCE,"The Journal of Computational Neuroscience provides a forum for papers that fit the interface between computational and experimental work in the neurosciences. The Journal of Computational Neuroscience publishes full length original papers, rapid communications and review articles describing theoretical and experimental work relevant to computations in the brain and nervous system. Papers that combine theoretical and experimental work are especially encouraged. Primarily, theoretical papers should deal with issues of obvious relevance to biological nervous systems."
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,"The Journal of Computational Neuroscience provides a forum for papers that fit the interface between computational and experimental work in the neurosciences. The Journal of Computational Neuroscience publishes full length original papers, rapid communications and review articles describing theoretical and experimental work relevant to computations in the brain and nervous system. Papers that combine theoretical and experimental work are especially encouraged. Primarily, theoretical papers should deal with issues of obvious relevance to biological nervous systems."
JOURNAL OF CRYPTOLOGY,"The Journal of Cryptology is a forum for original results in all areas of modern information security. Both cryptography and cryptanalysis are covered, including information theoretic and complexity theoretic perspectives as well as implementation, application, and standards issues. Coverage includes such topics as public key and conventional algorithms and their implementations, cryptanalytic attacks, pseudo-random sequences, computational number theory, cryptographic protocols, untraceability, privacy, authentication, key management and quantum cryptography. In addition to full-length technical, survey, and historical articles, the journal publishes short notes."
JOURNAL OF DATABASE MANAGEMENT,"The Journal of Database Management (JDM) publishes three types of rigorous and high quality articles: research articles, research notes, and research reviews. Research articles are full innovative findings that make substantial theoretical and empirical contributions to knowledge in the field by using various theoretical and methodological approaches. Research notes are novel and complete but not as comprehensive as full research articles; they include exploratory studies and methodological articles. Research reviews are insightful and carefully crafted articles that conceptualize research areas, synthesize previous innovative findings, advance the understanding of the field, and identify and develop future research directions."
JOURNAL OF FUNCTIONAL PROGRAMMING,"Journal of Functional Programming is the only journal devoted solely to the design, implementation, and application of functional programming languages, spanning the range from mathematical theory to industrial practice. Topics covered include functional languages and extensions, implementation techniques, reasoning and proof, program transformation and synthesis, type systems, type theory, language-based security, memory management, parallelism and applications. The journal is of interest to computer scientists, software engineers, programming language researchers and mathematicians interested in the logical foundations of programming."
JOURNAL OF GRID COMPUTING,"The Journal of Grid Computing explores an emerging technology that enables large-scale resource sharing problem solving within distributed, loosely coordinated groups sometimes termed ""virtual organizations"". Coverage includes protocols, security, scaling and more. Although the advantages of this technology for classes of applications have been acknowledged, research in a variety of disciplines is needed to broaden the applicability and scope of the current body of knowledge. This journal fills the need, covering such topics as protocols, middleware, and services, security, discovery, sharing, scaling, and more."
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,"The Journal of Logical and Algebraic Methods in Programming is an international journal whose aim is to publish high quality, original research papers, survey and review articles, tutorial expositions, and historical studies in the areas of logical and algebraic methods and techniques for guaranteeing correctness and performability of programs and in general of computing systems. All aspects will be covered, especially theory and foundations, implementation issues, and applications involving novel ideas.

Topics of interest to the journal include: 
? Applications of algebras, co-algebra and categories to programming
? Applications of proof theory and model theory to programming
? Constraint programming
? Foundations of Programming Paradigms
? Logic programming
? Logical Foundations of Program Security
? Models and Analytical Models for Cyber-Physical Systems
? Process Calculi
? Programming Models
? Quantitative Methods for System Analysis
? Specification and verification of systems

The Journal of Logical and Algebraic Methods in Programming complements Elsevier's Science of Computer Programming and Theoretical Computer Science by its focus on the foundations and the application of logical, algebraic and categorical methods to programming and to the development of trustworthy computing systems."
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,"The aim of the Journal of Multiple-Valued Logic and Soft Computing is to publish and disseminate knowledge in the areas related to multiple-valued logic and various disciplines that relate to soft computing, that is, to computing that is tolerant of imprecision, uncertainty, partial truth and approximative reasoning. Specific topics include (but are not limited to): ? Logic: algebra, minimization, spectral methods ? Circuits: Design, programmable logic, verification, testing, VLSI, ULSI ? Artificial intelligence: automated reasoning, theorem proving, expert systems ? Fuzzy logic: theoretical and practical aspects, fuzzy systems, fuzzy logic ? Soft computing constituents: neural computing, evolutionary computation, heuristics"
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,"This international journal is directed to researchers, engineers, educators, managers, programmers, and users of computers who have particular interests in parallel processing and/or distributed computing. The Journal of Parallel and Distributed Computing publishes original research papers and timely review articles on the theory, design, evaluation, and use of parallel and/or distributed computing systems. The journal also features special issues on these topics; again covering the full range from the design to the use of our targeted systems."
JOURNAL OF REAL-TIME IMAGE PROCESSING,"Although there are many journals addressing the subject of image processing, the Journal of Real-Time Image Processing (JRTIP) is the only one that is solely dedicated to the real-time aspect of image and video processing. It is often the case that an image processing algorithm is developed and proven theoretically sound, presumably with a specific application in mind, but its practical applications and the detailed steps, methodology, and trade-off analysis required to achieve its real-time performance are never fully explored."
JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,"Although there are many journals addressing the subject of image processing, the Journal of Real-Time Image Processing (JRTIP) is the only one that is solely dedicated to the real-time aspect of image and video processing. It is often the case that an image processing algorithm is developed and proven theoretically sound, presumably with a specific application in mind, but its practical applications and the detailed steps, methodology, and trade-off analysis required to achieve its real-time performance are never fully explored."
JOURNAL OF SUPERCOMPUTING,"The Journal of Supercomputing is an archival journal publishing theoretical, practical, tutorial and survey papers on all aspects of supercomputing. The papers published fall into such topic areas as technology, architecture and systems, algorithms, languages and programs, performance measures and methods, and applications. Tutorial and survey papers are intended for workers and students in the fields associated with and employing advanced computer systems. The journal also publishes letters to the editor, especially in areas relating to policy, succinct statements of paradoxes, intuitively puzzling results, partial results and real needs."
JOURNAL OF SYSTEMS AND SOFTWARE,"The Journal of Systems and Software publishes papers covering all aspects of programming methodology, software engineering, and related hardware-software-systems issues. Topics of interest include, but are not limited to, software development environments and tools, techniques for developing, validating, and maintaining software systems, software architecture and design, global software development, service orientation, agile approaches, mobile, multiprocessing, real-time, distributed, concurrent, and telecommunications systems, software metrics, reliability models for software, performance issues, and management concerns. The journal publishes research papers, state-of-the-art surveys, and reports of practical experience."
JOURNAL OF SYSTEMS ARCHITECTURE,"The Embedded Software Design (JSA) is a journal covering all design and architectural aspects related to embedded systems and software. It ranges from the microarchitecture level via the system software level up to the application-specific architecture level. Aspects such as real-time systems, operating systems, FPGA programming, programming languages, communications (limited to analysis and the software stack), mobile systems, parallel and distributed architectures as well as additional subjects in the computer and system architecture area will fall within the scope of this journal. Technology will not be a main focus, but its use and relevance to particular designs will be. Case studies are welcome but must contribute more than just a design for a particular piece of software."
JOURNAL OF THE ACM,"The best indicator of the scope of the journal is provided by the areas covered by its Editorial Board. These areas change from time to time, as the field evolves. The following areas are currently covered by a member of the Editorial Board: ?Algorithms and Data Structures ?Analysis of Algorithms ?Artificial Intelligence ?Complexity Theory ?Computational Biology ?Computational Geometry ?Computer-Aided Verification ?Cryptography and Security ?Database Systems and Theory"
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,"J.UCS - The Journal of Universal Computer Science - is a high-quality electronic publication that deals with all aspects of computer science. J.UCS has been appearing monthly since 1995 and is thus one of the oldest electronic journals with uninterrupted publication since its foundation. J.UCS is published by Graz University of Technology, Austria, and Universiti Malaysia Sarawak, Malasia, with the support of Know-Center, Austria and the University of Applied Sciences, Austria. Papers submitted to J.UCS are refereed by members of the editorial board. This board contains some of the most renowned specialists in their areas of expertise."
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,"The Journal of Visual Communication and Image Representation publishes papers on state-of-the-art visual communication and image representation, with emphasis on novel technologies and theoretical work in this multidisciplinary area of pure and applied research. The field of visual communication and image representation is considered in its broadest sense and covers both digital and analog aspects as well as processing and communication in biological visual systems."
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,"The Journal of Visual Languages and Computing is a forum for researchers, practitioners, and developers to exchange ideas and results for the advancement of visual languages and its implication to the art of computing. The journal publishes research papers, state-of-the-art surveys, and review articles in all aspects of visual languages."
JOURNAL OF VISUALIZATION,"Visualization is an interdisciplinary imaging science devoted to making the invisible visible through the techniques of experimental visualization and computer-aided visualization.
The scope of the Journal is to provide a place to exchange information on
the latest visualization technology and its application by the presentation
of latest papers of both researchers and technicians.
The Journal paper must be the original work of the author(s) and its main part has not been copyrighted, published, accepted or currently being considered for publication elsewhere; and will not be submitted elsewhere for publication under consideration by the Journal of Visualization.
The Journal is published quarterly worldwide in English in order to vitalize international studies on visualization and related computer techniques."
